president,category,subcategory,item,count
Bush 41,Wine,Sparkling,Domaine Chandon Blanc de Noirs,1
Bush 41,Wine,Sparkling,Schramsberg Crémant Demi-Sec,2
Bush 41,Wine,Sparkling,Chandon Brut,1
Bush 41,Wine,Sparkling,Dusinberre Brut,1
Bush 41,Wine,Sparkling,Schramsberg Blanc de Noirs,1
Bush 41,Wine,Sparkling,S. Anderson Blanc de Noirs Cuvée Extraordinaire,1
Bush 41,Wine,Sparkling,Schramsberg Crémant,1
Bush 41,Wine,Sparkling,Scharffenberger Crémant,1
Bush 41,Wine,Sparkling,Jordan J,2
Bush 41,Wine,Sparkling,Domaine Chandon Brut,1
Bush 41,Wine,Sparkling,Piper Sonoma Brut Reserve,1
Bush 41,Wine,Sparkling,Scharffenberger Blanc de Blancs,1
Bush 41,Wine,Riesling,Firestone Johannisberg Select Harvest,1
Bush 41,Wine,Riesling,Hagafen Johannisberg,1
Bush 41,Wine,Riesling,Gabriele y Caroline,3
Bush 41,Wine,Riesling,Stag’s Leap Wine Cellars,1
Bush 41,Wine,Riesling,Long Vineyards Botrytis Johannisberg,1
Bush 41,Wine,Riesling,Renaissance Special Select Late Harvest,1
Bush 41,Wine,Riesling,Llano Estacado Late Harvest,1
Bush 41,Wine,Chardonnay,La Crema Reserve,1
Bush 41,Wine,Chardonnay,Hagafen,1
Bush 41,Wine,Chardonnay,Talbott,2
Bush 41,Wine,Chardonnay,Kalin,1
Bush 41,Wine,Chardonnay,Louis Martini,1
Bush 41,Wine,Chardonnay,Davis Bynum Reserve,1
Bush 41,Wine,Chardonnay,Viansa,1
Bush 41,Wine,Chardonnay,Stag’s Leap Wine Cellars,1
Bush 41,Wine,Chardonnay,Matanzas Creek,1
Bush 41,Wine,Chardonnay,DeLoach,1
Bush 41,Wine,Chardonnay,Flora Springs Barrel Fermented,1
Bush 41,Wine,Chardonnay,Shafer,1
Bush 41,Wine,Chardonnay,Sanford Chardonnay Barrel Select,1
Bush 41,Wine,Chardonnay,Crosswoods Manor Hill,1
Bush 41,Wine,Chardonnay,Swanson Reserve,1
Bush 41,Wine,Chardonnay,Far Niente,1
Bush 41,Wine,Chardonnay,ZD Chardonnay,1
Bush 41,Wine,Chardonnay,Sanford,1
Bush 41,Wine,Chardonnay,Ferrari-Carano,1
Bush 41,Wine,Chardonnay,Fall Creek Texas Grand Reserve,1
Bush 41,Wine,Chardonnay,Boyer,1
Bush 41,Wine,Chardonnay,Merryvale Starmont,1
Bush 41,Wine,Chardonnay,Kalin Cellars Livermore,1
Bush 41,Wine,Chardonnay,Saintsbury,1
Bush 41,Wine,Cabernet Sauvignon,Shafer Hillside Select,3
Bush 41,Wine,Cabernet Sauvignon,Jordan,3
Bush 41,Wine,Cabernet Sauvignon,Robert Mondavi,1
Bush 41,Wine,Cabernet Sauvignon,Clos du Val,1
Bush 41,Wine,Cabernet Sauvignon,Robert Mondavi Reserve Mag,1
Bush 41,Wine,Cabernet Sauvignon,Heitz Cellars Martha’s Vineyard,1
Bush 41,Wine,Cabernet Sauvignon,Kendall-Jackson Proprietor’s Reserve,1
Bush 41,Wine,Cabernet Sauvignon,Clos Pegase,2
Bush 41,Wine,Cabernet Sauvignon,Beaulieu Vineyard Reserve,1
Bush 41,Wine,Cabernet Sauvignon,Chateau St. Jean,1
Bush 41,Wine,Cabernet Sauvignon,Bell Mountain,1
Bush 41,Wine,Cabernet Sauvignon,Beringer Knights Valley,1
Bush 41,Wine,Cabernet Sauvignon,Shafer,1
Bush 41,Soup/Salad,Cheese,Native Chevre Cheese,4
Bush 41,Soup/Salad,Cheese,St. Andre Cheese,1
Bush 41,Soup/Salad,Cheese,Saga Blue and Brie Cheeses,1
Bush 41,Soup/Salad,Cheese,Goat Cheese from Westfield Farm,1
Bush 41,Soup/Salad,Cheese,Bel Paese Cheese,1
Bush 41,Soup/Salad,Cheese,Herbed Mozzarella Cheese,1
Bush 41,Soup/Salad,Cheese,Saint Paulin Cheese,3
Bush 41,Soup/Salad,Cheese,Brie Cheese,3
Bush 41,Soup/Salad,Cheese,Saga Blue and Vermont Cheddar Cheeses,1
Bush 41,Soup/Salad,Cheese,Herbed Capri Cheese,2
Bush 41,Soup/Salad,Cheese,Trappist Cheese,3
Bush 41,Soup/Salad,Cheese,St. Andre and Chevre Cheeses,1
Bush 41,Soup/Salad,Cheese,Almond Brie Cheese,2
Bush 41,Soup/Salad,Cheese,Port Salut Cheese,3
