president,category,subcategory,item,count
TRUMAN,Soup/Salad,Grapefruit,"Orange, Grapefruit, Avocado, and Cress Salad with Honey Dressing",1
TRUMAN,Soup/Salad,Grapefruit,"Grapefruit, Avocado, Cress, and Hearts of Palm Salad with Herb Dressing",1
TRUMAN,Soup/Salad,Grapefruit,"Avocado, Grapefruit, and Orange Salad with Honey Dressing",1
TRUMAN,Soup/Salad,Grapefruit,"Orange, Grapefruit, Avocado, and Cress Salad",1
TRUMAN,Soup/Salad,Grapefruit,"Orange, Grapefruit, and Hearts of Palm Salad with Honey Dressing",1
TRUMAN,Soup/Salad,Green Salad,Green Salad with French Dressing,1
TRUMAN,Soup/Salad,Green Salad,Green Salad and Artichoke Hearts with Herb Dressing,2
TRUMAN,Soup/Salad,Green Salad,Green Salad with Artichoke Hearts,1
TRUMAN,Soup/Salad,Green Salad,Green Salad and Artichoke Hearts with Herb French Dressing,1
TRUMAN,Soup/Salad,Green Salad,Green Salad with Hearts of Palm and French Dressing,1
TRUMAN,Soup/Salad,Orange,"Orange, Grapefruit, Avocado, and Cress Salad with Honey Dressing",1
TRUMAN,Soup/Salad,Orange,"Avocado, Grapefruit, and Orange Salad with Honey Dressing",1
TRUMAN,Soup/Salad,Orange,"Orange, Grapefruit, Avocado, and Cress Salad",1
TRUMAN,Soup/Salad,Orange,"Orange, Grapefruit, and Hearts of Palm Salad with Honey Dressing",1
TRUMAN,Soup/Salad,Watercress,"Orange, Grapefruit, Avocado, and Cress Salad with Honey Dressing",1
TRUMAN,Soup/Salad,Watercress,"Grapefruit, Avocado, Cress, and Hearts of Palm Salad with Herb Dressing",1
TRUMAN,Soup/Salad,Watercress,Stuffed Endive and Cress Salad with Herb French Dressing,1
TRUMAN,Soup/Salad,Watercress,"Orange, Grapefruit, Avocado, and Cress Salad",1
TRUMAN,Soup/Salad,Watercress,Stuffed Endive and Cress Salad with Herb Dressing,1
TRUMAN,Soup/Salad,Endive,Stuffed Endive and Cress Salad with Herb French Dressing,1
TRUMAN,Soup/Salad,Endive,Stuffed Endive and Cress Salad with Herb Dressing,1
TRUMAN,Soup/Salad,Aspic,Tomato Aspic Ring,2
TRUMAN,Soup/Salad,Palm Hearts,"Grapefruit, Avocado, Cress, and Hearts of Palm Salad with Herb Dressing",1
TRUMAN,Soup/Salad,Palm Hearts,"Orange, Grapefruit, and Hearts of Palm Salad with Honey Dressing",1
TRUMAN,Soup/Salad,Palm Hearts,Green Salad with Hearts of Palm and French Dressing,1
TRUMAN,Soup/Salad,Peaches,Peach Basket Salad,1
TRUMAN,Dessert,Cream,Bavarian Cream with Strawberry Sauce,1
TRUMAN,Dessert,Cake,Cup Cakes,4
TRUMAN,Dessert,Cake,Coconut Cup Cakes,3
TRUMAN,Dessert,Cake,Sponge Cake Ring,1
TRUMAN,Dessert,Cake,Angel Food Cake,1
TRUMAN,Dessert,Cake,Angel Food,4
TRUMAN,Dessert,Cake,Strawberry Shortcake,1
TRUMAN,Dessert,Cake,Coconut Cake,1
TRUMAN,Dessert,Nuts,Nuts,20
TRUMAN,Dessert,Cookies,Ladyfingers,1
TRUMAN,Dessert,Cookies,Sponge Drops,3
TRUMAN,Dessert,Cookies,Vanilla,1
TRUMAN,Dessert,Coffee,Demi-Tasse,20
TRUMAN,Dessert,Fruit,Brandied Peaches,5
TRUMAN,Dessert,Fruit,Macaroon Ice Cream Mold and Brandied Peaches,1
TRUMAN,Dessert,Fruit,Brandied Marrons,1
TRUMAN,Dessert,Liqueur,Brandy & Liqueurs,1
TRUMAN,Dessert,Liqueur,Liqueurs,2
TRUMAN,Dessert,Liqueur,Liqueurs and Cocktails,1
TRUMAN,Dessert,Ice Cream,Vanilla Ice Cream Mold,3
TRUMAN,Dessert,Ice Cream,Vanilla Ice Cream and Orange Ice Molds,1
TRUMAN,Dessert,Ice Cream,Vanilla Ice Cream Melon Molds,1
TRUMAN,Dessert,Ice Cream,Vanilla Ice Cream Molds with Crushed Strawberries,1
TRUMAN,Dessert,Ice Cream,Coffee Ice Cream Molds with Butterscotch Sauce,1
TRUMAN,Dessert,Ice Cream,Strawberry,1
TRUMAN,Dessert,Ice Cream,Strawberry Ice Cream Ring Mold with Orange Sherbet,2
TRUMAN,Dessert,Ice Cream,Chocolate Ice Cream - Miss Margaret,1
TRUMAN,Dessert,Ice Cream,Vanilla Ice Cream with Chocolate Sauce,1
TRUMAN,Dessert,Ice Cream,Macaroon Ice Cream Ring Mold and Brandied Peaches,1
TRUMAN,Dessert,Ice Cream,Macaroon Ice Cream Ring Mold,2
TRUMAN,Dessert,Ice Cream,Macaroon Ice Cream Ring Mold with Sliced Fresh Peaches,1
TRUMAN,Dessert,Ice Cream,Macaroon Ice Cream with Rum Sauce,1
TRUMAN,Dessert,Ice Cream,Ice Cream Snowballs with Chocolate Fudge Sauce,1
TRUMAN,Dessert,Sherbet,"Orange, Raspberry, and Lime Sherbet Molds",2
TRUMAN,Dessert,Sherbet,Strawberry Ice Cream Ring Mold with Orange Sherbet,2
TRUMAN,Dessert,Cigars,Cigars,14
TRUMAN,Dessert,Cigarettes,Cigarettes,16
TRUMAN,Dessert,Candy,Candy,4
TRUMAN,Dessert,Candy,Candies,16
TRUMAN,Dessert,Pudding,Frozen Pudding Molds with Maple Sauce,1
TRUMAN,Dessert,Pudding,Frozen Pudding Molds with Maple Syrup,1
TRUMAN,Dessert,Pudding,Frozen Rum Pudding with Butterscotch Sauce,2
TRUMAN,Dessert,Petits Fours,Petits Fours,4
