CODE,NAME
CYXR,CITY OF CEDAR RAPIDS
CZPA,CONTEMPORARY AVIATIO
CZUA,MAC DAN AVIATION
D2KR,AMERATECH AVIATION I
D2TR,DUELL TECHNOLOGIES I
DALA,DELTA AIR LINES INC
DAMA,DIAMOND FLITE CENTER
DATA,AIR CARGO CARRIERS I
DBCA,SCOTT AVIATION INC
DC2R,CUSTOM AIRMOTIVE INC
DCGA,JACK HARTER HELICOPT
DCRA,CIRCLE RAINBOW AIR I
DDER,CHANNEL ISLANDS AVIA
DDNR,DAEDALUS INC
DEBA,EXECUTIVE BEECHCRAFT
DEBR,EXECUTIVE BEECHCRAFT
DECR,DECATUR AVIATION INC
DELR,UNITED EXECUTIVE JET
DFUR,DYNCORP-FT RUCKER DI
DHLA,DHL AIRWAYS INC
DIHA,DRAGON AIR INC
DINA,GPI AVIATION INC
DINR,GPI AVIATION INC
DJ3R,"SLOOP, JOHN R"
DJFA,MILLER AVIATION INC
DJFR,MILLER AVIATION INC
DJSA,IFL GROUP INC
DJSR,IFL GROUP INC
DJXA,TRADEWINDS AVIATION
DKAA,RELIANT AIRLINES INC
DKBA,AIR CARRIERS INC
DKKA,"JAAX, GERHARD JACK"
DM4R,AIRCRAFT SYSTEMS DIV
DMCA,THE BANNER GROUP INC
DMWC,"DELEO, DENNIS MICHAE"
DO9T,COCHISE COLLEGE
DP2R,BONDED INSPECTIONS I
DPOD,GREAT WESTERN AVIATI
DPOR,GREAT WESTERN AVIATI
DQ4R,SOUTHEASTERN PROPELL
DQFA,SUNWEST AVIATION INC
DQFR,SUNWEST AVIATION INC
DQIR,BARKEN INTERNATIONAL
DRRR,DEL RIO AVIATION INC
DRUA,CROW EXECUTIVE AIR I
DSBR,BAKER AIRCRAFT TECHN
DSCR,NATIONAL FLIGHT SERV
DSEA,CORPORATE WINGS INC
DTEA,AM AIR INC
DTXA,TIFFIN AIRE INC
DU4R,AERO CORP
DV1R,NARCO AVIONICS SVC
DVPA,MOODY BIBLE INSTITUT
DVPR,MOODY BIBLE INSTITUT
DVPS,MOODY BIBLE INSTITUT
DVYA,TRANS-EXEC AIR SERVI
DWHA,SPIRIT AVIATION INC
DWSR,RALEIGH FLYING SERVI
DXTA,EXECUTIVE JET AVIATI
DXTR,EXECUTIVE JET SALES
DY1R,HENRY WEBER ACFT DIS
